Scale,Instrument,Direction,Responder (mean±SD),Non-responder (mean±SD),Univariate AUC,Cliff's δ,MWU p,FDR q,Bootstrap selection %
Quality of life,Q-LES-Q,higher → responder,52.1±6.5,47.6±6.7,0.67,0.34,0.0842,0.574,61%
Intrusive,ASR,higher → non-responder,53.9±6.7,57.2±5.4,0.758,-0.515,0.0078,0.296,51%
Task-monitor,BRIEF-A,higher → responder,76.2±12.1,68.3±11.6,0.693,0.386,0.0494,0.574,45%
Thought problems,ASR,higher → non-responder,54.3±5.3,58.2±6.7,0.691,-0.383,0.0503,0.574,39%
Age,Demographic,higher → responder,33.1±6.3,30.2±6.9,0.602,0.204,0.3031,0.574,38%
ADHD-RS inattention,ADHD-RS,higher → responder,27.6±5.4,24.1±6.3,0.619,0.238,0.2277,0.574,35%
Rule-breaking,ASR,higher → non-responder,56.2±7.4,58.9±6.9,0.627,-0.253,0.1967,0.574,27%
Social cognition,SRS-2,higher → responder,50.6±8.8,48.7±6.4,0.556,0.111,0.5786,0.846,27%
Social communication,SRS-2,higher → responder,52.1±8.0,50.1±6.8,0.537,0.074,0.7155,0.877,25%
Social awareness,SRS-2,higher → non-responder,45.7±7.8,48.8±5.4,0.662,-0.324,0.0965,0.574,23%
Internalizing,ASR,higher → non-responder,56.0±9.2,61.7±11.9,0.639,-0.278,0.1588,0.574,20%
Externalizing,ASR,higher → non-responder,53.3±10.4,56.9±8.2,0.597,-0.194,0.3259,0.574,17%
