model,shots,auc_mean,auc_std,ci_lo,ci_hi
LR,2,0.5163,0.1038,0.3302,0.7303
LR,8,0.5797,0.0994,0.3231,0.7478
LR,16,0.5951,0.0868,0.4037,0.73
LR,24,0.6128,0.1293,0.3597,0.8201
LR,35,0.6111,0.0,0.6111,0.6111
RF,2,0.5149,0.1023,0.3069,0.708
RF,8,0.5759,0.0983,0.3504,0.7452
RF,16,0.5901,0.1055,0.3738,0.7805
RF,24,0.6507,0.1566,0.3056,0.8962
RF,35,0.5943,0.0237,0.5636,0.6356
XGBoost,2,0.5,0.0,0.5,0.5
XGBoost,8,0.5064,0.0846,0.3384,0.6429
XGBoost,16,0.5938,0.0978,0.3824,0.7657
XGBoost,24,0.6356,0.1509,0.3611,0.9181
XGBoost,35,0.642,0.0,0.642,0.642
TabNet,2,0.5054,0.0951,0.3466,0.6746
TabNet,8,0.5145,0.1116,0.2959,0.7323
TabNet,16,0.5181,0.1284,0.2947,0.75
TabNet,24,0.5474,0.177,0.1931,0.8757
TabNet,35,0.5346,0.105,0.3562,0.6937
TabFM,0,0.5,0.0,0.5,0.5
TabFM,2,0.5196,0.0674,0.4004,0.6607
TabFM,8,0.5234,0.1046,0.3187,0.7551
TabFM,16,0.5666,0.0955,0.3843,0.781
TabFM,24,0.6725,0.1361,0.3889,0.9167
TabFM,35,0.7654,0.0,0.7654,0.7654
