shot,repeat,model,auc
2,0,LR,0.32526
2,1,LR,0.432526
2,2,LR,0.577855
2,3,LR,0.688581
2,4,LR,0.256055
2,5,LR,0.391003
2,6,LR,0.387543
2,7,LR,0.425606
2,8,LR,0.692042
2,9,LR,0.726644
2,10,LR,0.529412
2,11,LR,0.415225
2,12,LR,0.564014
2,13,LR,0.67474
2,14,LR,0.408304
2,15,LR,0.508651
2,16,LR,0.508651
2,17,LR,0.768166
2,18,LR,0.33564
2,19,LR,0.570934
2,20,LR,0.50173
2,21,LR,0.404844
2,22,LR,0.3391
2,23,LR,0.519031
2,24,LR,0.50173
2,25,LR,0.515571
2,26,LR,0.529412
2,27,LR,0.608997
2,28,LR,0.491349
2,29,LR,0.370242
2,30,LR,0.584775
2,31,LR,0.512111
2,32,LR,0.529412
2,33,LR,0.361592
2,34,LR,0.66782
2,35,LR,0.733564
2,36,LR,0.529412
2,37,LR,0.463668
2,38,LR,0.491349
2,39,LR,0.359862
2,40,LR,0.366782
2,41,LR,0.595156
2,42,LR,0.508651
2,43,LR,0.463668
2,44,LR,0.432526
2,45,LR,0.280277
2,46,LR,0.439446
2,47,LR,0.519031
2,48,LR,0.588235
2,49,LR,0.522491
2,50,LR,0.538062
2,51,LR,0.415225
2,52,LR,0.342561
2,53,LR,0.584775
2,54,LR,0.602076
2,55,LR,0.626298
2,56,LR,0.546713
2,57,LR,0.536332
2,58,LR,0.757785
2,59,LR,0.467128
2,60,LR,0.532872
2,61,LR,0.536332
2,62,LR,0.577855
2,63,LR,0.588235
2,64,LR,0.415225
2,65,LR,0.560554
2,66,LR,0.491349
2,67,LR,0.391003
2,68,LR,0.532872
2,69,LR,0.401384
2,70,LR,0.567474
2,71,LR,0.602076
2,72,LR,0.560554
2,73,LR,0.567474
2,74,LR,0.66782
2,75,LR,0.622837
2,76,LR,0.515571
2,77,LR,0.546713
2,78,LR,0.640138
2,79,LR,0.588235
2,80,LR,0.564014
2,81,LR,0.643599
2,82,LR,0.512111
2,83,LR,0.446367
2,84,LR,0.442907
2,85,LR,0.626298
2,86,LR,0.480969
2,87,LR,0.532872
2,88,LR,0.467128
2,89,LR,0.491349
2,90,LR,0.543253
2,91,LR,0.456747
2,92,LR,0.539792
2,93,LR,0.456747
2,94,LR,0.519031
2,95,LR,0.439446
2,96,LR,0.467128
2,97,LR,0.577855
2,98,LR,0.456747
2,99,LR,0.723183
8,0,LR,0.622449
8,1,LR,0.535714
8,2,LR,0.683673
8,3,LR,0.612245
8,4,LR,0.55102
8,5,LR,0.556122
8,6,LR,0.642857
8,7,LR,0.561224
8,8,LR,0.622449
8,9,LR,0.5
8,10,LR,0.663265
8,11,LR,0.459184
8,12,LR,0.627551
8,13,LR,0.576531
8,14,LR,0.52551
8,15,LR,0.244898
8,16,LR,0.428571
8,17,LR,0.581633
8,18,LR,0.69898
8,19,LR,0.464286
8,20,LR,0.632653
8,21,LR,0.668367
8,22,LR,0.678571
8,23,LR,0.571429
8,24,LR,0.714286
8,25,LR,0.770408
8,26,LR,0.637755
8,27,LR,0.69898
8,28,LR,0.423469
8,29,LR,0.484694
8,30,LR,0.55102
8,31,LR,0.683673
8,32,LR,0.591837
8,33,LR,0.790816
8,34,LR,0.596939
8,35,LR,0.561224
8,36,LR,0.484694
8,37,LR,0.602041
8,38,LR,0.530612
8,39,LR,0.632653
8,40,LR,0.591837
8,41,LR,0.663265
8,42,LR,0.306122
8,43,LR,0.658163
8,44,LR,0.47449
8,45,LR,0.545918
8,46,LR,0.632653
8,47,LR,0.658163
8,48,LR,0.586735
8,49,LR,0.540816
8,50,LR,0.658163
8,51,LR,0.755102
8,52,LR,0.739796
8,53,LR,0.653061
8,54,LR,0.586735
8,55,LR,0.612245
8,56,LR,0.505102
8,57,LR,0.459184
8,58,LR,0.678571
8,59,LR,0.668367
8,60,LR,0.591837
8,61,LR,0.678571
8,62,LR,0.464286
8,63,LR,0.443878
8,64,LR,0.673469
8,65,LR,0.561224
8,66,LR,0.576531
8,67,LR,0.530612
8,68,LR,0.642857
8,69,LR,0.530612
8,70,LR,0.709184
8,71,LR,0.494898
8,72,LR,0.658163
8,73,LR,0.622449
8,74,LR,0.627551
8,75,LR,0.290816
8,76,LR,0.622449
8,77,LR,0.637755
8,78,LR,0.576531
8,79,LR,0.341837
8,80,LR,0.566327
8,81,LR,0.561224
8,82,LR,0.612245
8,83,LR,0.55102
8,84,LR,0.520408
8,85,LR,0.418367
8,86,LR,0.55102
8,87,LR,0.403061
8,88,LR,0.647959
8,89,LR,0.561224
8,90,LR,0.688776
8,91,LR,0.576531
8,92,LR,0.469388
8,93,LR,0.52551
8,94,LR,0.52551
8,95,LR,0.663265
8,96,LR,0.571429
8,97,LR,0.596939
8,98,LR,0.668367
8,99,LR,0.581633
16,0,LR,0.53
16,1,LR,0.54
16,2,LR,0.55
16,3,LR,0.45
16,4,LR,0.61
16,5,LR,0.73
16,6,LR,0.57
16,7,LR,0.7
16,8,LR,0.53
16,9,LR,0.59
16,10,LR,0.71
16,11,LR,0.67
16,12,LR,0.53
16,13,LR,0.58
16,14,LR,0.63
16,15,LR,0.56
16,16,LR,0.64
16,17,LR,0.72
16,18,LR,0.61
16,19,LR,0.35
16,20,LR,0.53
16,21,LR,0.58
16,22,LR,0.57
16,23,LR,0.63
16,24,LR,0.55
16,25,LR,0.55
16,26,LR,0.26
16,27,LR,0.48
16,28,LR,0.55
16,29,LR,0.5
16,30,LR,0.58
16,31,LR,0.56
16,32,LR,0.69
16,33,LR,0.65
16,34,LR,0.56
16,35,LR,0.64
16,36,LR,0.52
16,37,LR,0.55
16,38,LR,0.56
16,39,LR,0.63
16,40,LR,0.71
16,41,LR,0.71
16,42,LR,0.61
16,43,LR,0.56
16,44,LR,0.58
16,45,LR,0.63
16,46,LR,0.66
16,47,LR,0.6
16,48,LR,0.7
16,49,LR,0.63
16,50,LR,0.58
16,51,LR,0.57
16,52,LR,0.63
16,53,LR,0.75
16,54,LR,0.73
16,55,LR,0.6
16,56,LR,0.5
16,57,LR,0.58
16,58,LR,0.57
16,59,LR,0.67
16,60,LR,0.58
16,61,LR,0.49
16,62,LR,0.71
16,63,LR,0.64
16,64,LR,0.67
16,65,LR,0.5
16,66,LR,0.54
16,67,LR,0.62
16,68,LR,0.59
16,69,LR,0.51
16,70,LR,0.53
16,71,LR,0.48
16,72,LR,0.69
16,73,LR,0.61
16,74,LR,0.43
16,75,LR,0.71
16,76,LR,0.56
16,77,LR,0.65
16,78,LR,0.63
16,79,LR,0.6
16,80,LR,0.61
16,81,LR,0.47
16,82,LR,0.73
16,83,LR,0.69
16,84,LR,0.67
16,85,LR,0.54
16,86,LR,0.56
16,87,LR,0.66
16,88,LR,0.66
16,89,LR,0.7
16,90,LR,0.57
16,91,LR,0.38
16,92,LR,0.69
16,93,LR,0.46
16,94,LR,0.6
16,95,LR,0.57
16,96,LR,0.71
16,97,LR,0.68
16,98,LR,0.71
16,99,LR,0.6
24,0,LR,0.611111
24,1,LR,0.75
24,2,LR,0.555556
24,3,LR,0.666667
24,4,LR,0.527778
24,5,LR,0.583333
24,6,LR,0.861111
24,7,LR,0.694444
24,8,LR,0.416667
24,9,LR,0.75
24,10,LR,0.805556
24,11,LR,0.611111
24,12,LR,0.666667
24,13,LR,0.722222
24,14,LR,0.611111
24,15,LR,0.583333
24,16,LR,0.583333
24,17,LR,0.583333
24,18,LR,0.555556
24,19,LR,0.444444
24,20,LR,0.472222
24,21,LR,0.555556
24,22,LR,0.638889
24,23,LR,0.777778
24,24,LR,0.611111
24,25,LR,0.777778
24,26,LR,0.611111
24,27,LR,0.555556
24,28,LR,0.694444
24,29,LR,0.833333
24,30,LR,0.75
24,31,LR,0.694444
24,32,LR,0.555556
24,33,LR,0.666667
24,34,LR,0.666667
24,35,LR,0.694444
24,36,LR,0.388889
24,37,LR,0.777778
24,38,LR,0.5
24,39,LR,0.666667
24,40,LR,0.638889
24,41,LR,0.666667
24,42,LR,0.638889
24,43,LR,0.527778
24,44,LR,0.75
24,45,LR,0.777778
24,46,LR,0.722222
24,47,LR,0.638889
24,48,LR,0.416667
24,49,LR,0.611111
24,50,LR,0.333333
24,51,LR,0.416667
24,52,LR,0.694444
24,53,LR,0.666667
24,54,LR,0.416667
24,55,LR,0.638889
24,56,LR,0.722222
24,57,LR,0.472222
24,58,LR,0.444444
24,59,LR,0.722222
24,60,LR,0.555556
24,61,LR,0.638889
24,62,LR,0.555556
24,63,LR,0.805556
24,64,LR,0.694444
24,65,LR,0.388889
24,66,LR,0.527778
24,67,LR,0.416667
24,68,LR,0.666667
24,69,LR,0.416667
24,70,LR,0.75
24,71,LR,0.777778
24,72,LR,0.333333
24,73,LR,0.611111
24,74,LR,0.555556
24,75,LR,0.611111
24,76,LR,0.75
24,77,LR,0.444444
24,78,LR,0.611111
24,79,LR,0.416667
24,80,LR,0.805556
24,81,LR,0.833333
24,82,LR,0.611111
24,83,LR,0.583333
24,84,LR,0.694444
24,85,LR,0.666667
24,86,LR,0.555556
24,87,LR,0.666667
24,88,LR,0.527778
24,89,LR,0.555556
24,90,LR,0.777778
24,91,LR,0.388889
24,92,LR,0.638889
24,93,LR,0.638889
24,94,LR,0.583333
24,95,LR,0.777778
24,96,LR,0.638889
24,97,LR,0.194444
24,98,LR,0.527778
24,99,LR,0.694444
2,0,RF,0.311419
2,1,RF,0.512111
2,2,RF,0.564014
2,3,RF,0.600346
2,4,RF,0.259516
2,5,RF,0.422145
2,6,RF,0.323529
2,7,RF,0.557093
2,8,RF,0.564014
2,9,RF,0.636678
2,10,RF,0.524221
2,11,RF,0.302768
2,12,RF,0.698962
2,13,RF,0.513841
2,14,RF,0.510381
2,15,RF,0.458478
2,16,RF,0.349481
2,17,RF,0.619377
2,18,RF,0.373702
2,19,RF,0.636678
2,20,RF,0.67301
2,21,RF,0.628028
2,22,RF,0.461938
2,23,RF,0.442907
2,24,RF,0.67301
2,25,RF,0.553633
2,26,RF,0.391003
2,27,RF,0.588235
2,28,RF,0.634948
2,29,RF,0.463668
2,30,RF,0.515571
2,31,RF,0.382353
2,32,RF,0.50692
2,33,RF,0.446367
2,34,RF,0.544983
2,35,RF,0.768166
2,36,RF,0.524221
2,37,RF,0.489619
2,38,RF,0.472318
2,39,RF,0.33218
2,40,RF,0.595156
2,41,RF,0.550173
2,42,RF,0.349481
2,43,RF,0.423875
2,44,RF,0.591696
2,45,RF,0.399654
2,46,RF,0.463668
2,47,RF,0.487889
2,48,RF,0.634948
2,49,RF,0.614187
2,50,RF,0.491349
2,51,RF,0.302768
2,52,RF,0.527682
2,53,RF,0.581315
2,54,RF,0.576125
2,55,RF,0.608997
2,56,RF,0.408304
2,57,RF,0.603806
2,58,RF,0.768166
2,59,RF,0.408304
2,60,RF,0.633218
2,61,RF,0.569204
2,62,RF,0.564014
2,63,RF,0.622837
2,64,RF,0.423875
2,65,RF,0.49481
2,66,RF,0.394464
2,67,RF,0.49827
2,68,RF,0.513841
2,69,RF,0.460208
2,70,RF,0.403114
2,71,RF,0.577855
2,72,RF,0.570934
2,73,RF,0.475779
2,74,RF,0.66609
2,75,RF,0.716263
2,76,RF,0.480969
2,77,RF,0.5
2,78,RF,0.647059
2,79,RF,0.449827
2,80,RF,0.529412
2,81,RF,0.546713
2,82,RF,0.512111
2,83,RF,0.475779
2,84,RF,0.461938
2,85,RF,0.640138
2,86,RF,0.482699
2,87,RF,0.475779
2,88,RF,0.50692
2,89,RF,0.49481
2,90,RF,0.546713
2,91,RF,0.470588
2,92,RF,0.532872
2,93,RF,0.437716
2,94,RF,0.487889
2,95,RF,0.463668
2,96,RF,0.50519
2,97,RF,0.657439
2,98,RF,0.437716
2,99,RF,0.539792
8,0,RF,0.69898
8,1,RF,0.635204
8,2,RF,0.65051
8,3,RF,0.59949
8,4,RF,0.612245
8,5,RF,0.612245
8,6,RF,0.584184
8,7,RF,0.533163
8,8,RF,0.632653
8,9,RF,0.433673
8,10,RF,0.538265
8,11,RF,0.477041
8,12,RF,0.683673
8,13,RF,0.55102
8,14,RF,0.505102
8,15,RF,0.336735
8,16,RF,0.47449
8,17,RF,0.665816
8,18,RF,0.653061
8,19,RF,0.42602
8,20,RF,0.561224
8,21,RF,0.727041
8,22,RF,0.663265
8,23,RF,0.492347
8,24,RF,0.635204
8,25,RF,0.540816
8,26,RF,0.602041
8,27,RF,0.67602
8,28,RF,0.502551
8,29,RF,0.477041
8,30,RF,0.55102
8,31,RF,0.586735
8,32,RF,0.614796
8,33,RF,0.75
8,34,RF,0.548469
8,35,RF,0.438776
8,36,RF,0.530612
8,37,RF,0.688776
8,38,RF,0.392857
8,39,RF,0.558673
8,40,RF,0.47449
8,41,RF,0.727041
8,42,RF,0.357143
8,43,RF,0.655612
8,44,RF,0.489796
8,45,RF,0.543367
8,46,RF,0.589286
8,47,RF,0.678571
8,48,RF,0.584184
8,49,RF,0.579082
8,50,RF,0.658163
8,51,RF,0.772959
8,52,RF,0.706633
8,53,RF,0.627551
8,54,RF,0.576531
8,55,RF,0.622449
8,56,RF,0.553571
8,57,RF,0.466837
8,58,RF,0.622449
8,59,RF,0.625
8,60,RF,0.688776
8,61,RF,0.403061
8,62,RF,0.497449
8,63,RF,0.5
8,64,RF,0.586735
8,65,RF,0.571429
8,66,RF,0.487245
8,67,RF,0.637755
8,68,RF,0.816327
8,69,RF,0.617347
8,70,RF,0.596939
8,71,RF,0.556122
8,72,RF,0.604592
8,73,RF,0.543367
8,74,RF,0.67602
8,75,RF,0.272959
8,76,RF,0.668367
8,77,RF,0.619898
8,78,RF,0.553571
8,79,RF,0.344388
8,80,RF,0.581633
8,81,RF,0.635204
8,82,RF,0.5
8,83,RF,0.579082
8,84,RF,0.484694
8,85,RF,0.556122
8,86,RF,0.591837
8,87,RF,0.359694
8,88,RF,0.640306
8,89,RF,0.596939
8,90,RF,0.739796
8,91,RF,0.520408
8,92,RF,0.625
8,93,RF,0.561224
8,94,RF,0.556122
8,95,RF,0.602041
8,96,RF,0.579082
8,97,RF,0.668367
8,98,RF,0.688776
8,99,RF,0.528061
16,0,RF,0.51
16,1,RF,0.62
16,2,RF,0.54
16,3,RF,0.55
16,4,RF,0.62
16,5,RF,0.71
16,6,RF,0.735
16,7,RF,0.625
16,8,RF,0.66
16,9,RF,0.7
16,10,RF,0.715
16,11,RF,0.71
16,12,RF,0.565
16,13,RF,0.52
16,14,RF,0.4
16,15,RF,0.68
16,16,RF,0.62
16,17,RF,0.615
16,18,RF,0.46
16,19,RF,0.35
16,20,RF,0.57
16,21,RF,0.475
16,22,RF,0.565
16,23,RF,0.66
16,24,RF,0.57
16,25,RF,0.77
16,26,RF,0.275
16,27,RF,0.51
16,28,RF,0.43
16,29,RF,0.48
16,30,RF,0.585
16,31,RF,0.67
16,32,RF,0.68
16,33,RF,0.625
16,34,RF,0.58
16,35,RF,0.565
16,36,RF,0.64
16,37,RF,0.63
16,38,RF,0.52
16,39,RF,0.66
16,40,RF,0.52
16,41,RF,0.42
16,42,RF,0.75
16,43,RF,0.665
16,44,RF,0.465
16,45,RF,0.65
16,46,RF,0.79
16,47,RF,0.665
16,48,RF,0.695
16,49,RF,0.63
16,50,RF,0.48
16,51,RF,0.635
16,52,RF,0.675
16,53,RF,0.71
16,54,RF,0.66
16,55,RF,0.565
16,56,RF,0.51
16,57,RF,0.625
16,58,RF,0.59
16,59,RF,0.545
16,60,RF,0.5
16,61,RF,0.46
16,62,RF,0.63
16,63,RF,0.64
16,64,RF,0.585
16,65,RF,0.45
16,66,RF,0.745
16,67,RF,0.55
16,68,RF,0.645
16,69,RF,0.475
16,70,RF,0.56
16,71,RF,0.33
16,72,RF,0.665
16,73,RF,0.56
16,74,RF,0.45
16,75,RF,0.5
16,76,RF,0.565
16,77,RF,0.52
16,78,RF,0.595
16,79,RF,0.61
16,80,RF,0.71
16,81,RF,0.44
16,82,RF,0.615
16,83,RF,0.56
16,84,RF,0.7
16,85,RF,0.545
16,86,RF,0.53
16,87,RF,0.715
16,88,RF,0.615
16,89,RF,0.64
16,90,RF,0.835
16,91,RF,0.41
16,92,RF,0.6
16,93,RF,0.47
16,94,RF,0.715
16,95,RF,0.56
16,96,RF,0.83
16,97,RF,0.53
16,98,RF,0.65
16,99,RF,0.69
24,0,RF,0.722222
24,1,RF,0.902778
24,2,RF,0.888889
24,3,RF,0.597222
24,4,RF,0.833333
24,5,RF,0.361111
24,6,RF,0.708333
24,7,RF,0.666667
24,8,RF,0.388889
24,9,RF,0.611111
24,10,RF,0.777778
24,11,RF,0.694444
24,12,RF,0.777778
24,13,RF,0.75
24,14,RF,0.597222
24,15,RF,0.638889
24,16,RF,0.666667
24,17,RF,0.666667
24,18,RF,0.611111
24,19,RF,0.555556
24,20,RF,0.541667
24,21,RF,0.583333
24,22,RF,0.555556
24,23,RF,0.722222
24,24,RF,0.513889
24,25,RF,0.861111
24,26,RF,0.583333
24,27,RF,0.638889
24,28,RF,0.694444
24,29,RF,0.888889
24,30,RF,0.888889
24,31,RF,0.694444
24,32,RF,0.888889
24,33,RF,0.75
24,34,RF,0.805556
24,35,RF,0.305556
24,36,RF,0.305556
24,37,RF,0.888889
24,38,RF,0.388889
24,39,RF,0.805556
24,40,RF,0.583333
24,41,RF,0.694444
24,42,RF,0.527778
24,43,RF,0.472222
24,44,RF,0.555556
24,45,RF,0.791667
24,46,RF,0.638889
24,47,RF,0.777778
24,48,RF,0.402778
24,49,RF,0.625
24,50,RF,0.458333
24,51,RF,0.555556
24,52,RF,0.666667
24,53,RF,0.722222
24,54,RF,0.611111
24,55,RF,0.611111
24,56,RF,0.611111
24,57,RF,0.638889
24,58,RF,0.694444
24,59,RF,1.0
24,60,RF,0.597222
24,61,RF,0.722222
24,62,RF,0.805556
24,63,RF,0.916667
24,64,RF,0.805556
24,65,RF,0.458333
24,66,RF,0.722222
24,67,RF,0.527778
24,68,RF,0.861111
24,69,RF,0.444444
24,70,RF,0.75
24,71,RF,0.666667
24,72,RF,0.388889
24,73,RF,0.777778
24,74,RF,0.611111
24,75,RF,0.527778
24,76,RF,0.805556
24,77,RF,0.611111
24,78,RF,0.694444
24,79,RF,0.236111
24,80,RF,0.861111
24,81,RF,0.694444
24,82,RF,0.541667
24,83,RF,0.694444
24,84,RF,0.722222
24,85,RF,0.777778
24,86,RF,0.5
24,87,RF,0.722222
24,88,RF,0.611111
24,89,RF,0.833333
24,90,RF,0.583333
24,91,RF,0.541667
24,92,RF,0.625
24,93,RF,0.611111
24,94,RF,0.75
24,95,RF,0.763889
24,96,RF,0.638889
24,97,RF,0.138889
24,98,RF,0.611111
24,99,RF,0.555556
2,0,XGBoost,0.5
2,1,XGBoost,0.5
2,2,XGBoost,0.5
2,3,XGBoost,0.5
2,4,XGBoost,0.5
2,5,XGBoost,0.5
2,6,XGBoost,0.5
2,7,XGBoost,0.5
2,8,XGBoost,0.5
2,9,XGBoost,0.5
2,10,XGBoost,0.5
2,11,XGBoost,0.5
2,12,XGBoost,0.5
2,13,XGBoost,0.5
2,14,XGBoost,0.5
2,15,XGBoost,0.5
2,16,XGBoost,0.5
2,17,XGBoost,0.5
2,18,XGBoost,0.5
2,19,XGBoost,0.5
2,20,XGBoost,0.5
2,21,XGBoost,0.5
2,22,XGBoost,0.5
2,23,XGBoost,0.5
2,24,XGBoost,0.5
2,25,XGBoost,0.5
2,26,XGBoost,0.5
2,27,XGBoost,0.5
2,28,XGBoost,0.5
2,29,XGBoost,0.5
2,30,XGBoost,0.5
2,31,XGBoost,0.5
2,32,XGBoost,0.5
2,33,XGBoost,0.5
2,34,XGBoost,0.5
2,35,XGBoost,0.5
2,36,XGBoost,0.5
2,37,XGBoost,0.5
2,38,XGBoost,0.5
2,39,XGBoost,0.5
2,40,XGBoost,0.5
2,41,XGBoost,0.5
2,42,XGBoost,0.5
2,43,XGBoost,0.5
2,44,XGBoost,0.5
2,45,XGBoost,0.5
2,46,XGBoost,0.5
2,47,XGBoost,0.5
2,48,XGBoost,0.5
2,49,XGBoost,0.5
2,50,XGBoost,0.5
2,51,XGBoost,0.5
2,52,XGBoost,0.5
2,53,XGBoost,0.5
2,54,XGBoost,0.5
2,55,XGBoost,0.5
2,56,XGBoost,0.5
2,57,XGBoost,0.5
2,58,XGBoost,0.5
2,59,XGBoost,0.5
2,60,XGBoost,0.5
2,61,XGBoost,0.5
2,62,XGBoost,0.5
2,63,XGBoost,0.5
2,64,XGBoost,0.5
2,65,XGBoost,0.5
2,66,XGBoost,0.5
2,67,XGBoost,0.5
2,68,XGBoost,0.5
2,69,XGBoost,0.5
2,70,XGBoost,0.5
2,71,XGBoost,0.5
2,72,XGBoost,0.5
2,73,XGBoost,0.5
2,74,XGBoost,0.5
2,75,XGBoost,0.5
2,76,XGBoost,0.5
2,77,XGBoost,0.5
2,78,XGBoost,0.5
2,79,XGBoost,0.5
2,80,XGBoost,0.5
2,81,XGBoost,0.5
2,82,XGBoost,0.5
2,83,XGBoost,0.5
2,84,XGBoost,0.5
2,85,XGBoost,0.5
2,86,XGBoost,0.5
2,87,XGBoost,0.5
2,88,XGBoost,0.5
2,89,XGBoost,0.5
2,90,XGBoost,0.5
2,91,XGBoost,0.5
2,92,XGBoost,0.5
2,93,XGBoost,0.5
2,94,XGBoost,0.5
2,95,XGBoost,0.5
2,96,XGBoost,0.5
2,97,XGBoost,0.5
2,98,XGBoost,0.5
2,99,XGBoost,0.5
8,0,XGBoost,0.535714
8,1,XGBoost,0.428571
8,2,XGBoost,0.5
8,3,XGBoost,0.607143
8,4,XGBoost,0.535714
8,5,XGBoost,0.535714
8,6,XGBoost,0.5
8,7,XGBoost,0.571429
8,8,XGBoost,0.607143
8,9,XGBoost,0.571429
8,10,XGBoost,0.392857
8,11,XGBoost,0.428571
8,12,XGBoost,0.607143
8,13,XGBoost,0.464286
8,14,XGBoost,0.571429
8,15,XGBoost,0.678571
8,16,XGBoost,0.464286
8,17,XGBoost,0.535714
8,18,XGBoost,0.464286
8,19,XGBoost,0.5
8,20,XGBoost,0.571429
8,21,XGBoost,0.535714
8,22,XGBoost,0.464286
8,23,XGBoost,0.428571
8,24,XGBoost,0.428571
8,25,XGBoost,0.535714
8,26,XGBoost,0.5
8,27,XGBoost,0.571429
8,28,XGBoost,0.428571
8,29,XGBoost,0.535714
8,30,XGBoost,0.571429
8,31,XGBoost,0.464286
8,32,XGBoost,0.535714
8,33,XGBoost,0.535714
8,34,XGBoost,0.535714
8,35,XGBoost,0.464286
8,36,XGBoost,0.607143
8,37,XGBoost,0.5
8,38,XGBoost,0.464286
8,39,XGBoost,0.535714
8,40,XGBoost,0.571429
8,41,XGBoost,0.321429
8,42,XGBoost,0.392857
8,43,XGBoost,0.571429
8,44,XGBoost,0.357143
8,45,XGBoost,0.571429
8,46,XGBoost,0.535714
8,47,XGBoost,0.535714
8,48,XGBoost,0.642857
8,49,XGBoost,0.535714
8,50,XGBoost,0.571429
8,51,XGBoost,0.571429
8,52,XGBoost,0.5
8,53,XGBoost,0.392857
8,54,XGBoost,0.428571
8,55,XGBoost,0.607143
8,56,XGBoost,0.535714
8,57,XGBoost,0.571429
8,58,XGBoost,0.428571
8,59,XGBoost,0.535714
8,60,XGBoost,0.535714
8,61,XGBoost,0.571429
8,62,XGBoost,0.642857
8,63,XGBoost,0.571429
8,64,XGBoost,0.571429
8,65,XGBoost,0.214286
8,66,XGBoost,0.464286
8,67,XGBoost,0.285714
8,68,XGBoost,0.428571
8,69,XGBoost,0.535714
8,70,XGBoost,0.357143
8,71,XGBoost,0.642857
8,72,XGBoost,0.464286
8,73,XGBoost,0.571429
8,74,XGBoost,0.571429
8,75,XGBoost,0.5
8,76,XGBoost,0.5
8,77,XGBoost,0.5
8,78,XGBoost,0.571429
8,79,XGBoost,0.357143
8,80,XGBoost,0.535714
8,81,XGBoost,0.5
8,82,XGBoost,0.571429
8,83,XGBoost,0.428571
8,84,XGBoost,0.535714
8,85,XGBoost,0.571429
8,86,XGBoost,0.392857
8,87,XGBoost,0.392857
8,88,XGBoost,0.535714
8,89,XGBoost,0.5
8,90,XGBoost,0.357143
8,91,XGBoost,0.392857
