model,shot,auc_mean,auc_std,bacc_mean,n_seeds
TabPFN,2,0.5917,0.2315,0.5333,15
TabPFN,4,0.5625,0.2602,0.55,15
TabPFN,8,0.6625,0.221,0.5917,15
TabPFN,16,0.7292,0.1748,0.65,15
TabPFN,24,0.6125,0.2143,0.5417,15
LR,2,0.5667,0.2287,0.55,15
LR,4,0.5417,0.2783,0.5417,15
LR,8,0.6458,0.2569,0.5417,15
LR,16,0.6792,0.1675,0.6333,15
LR,24,0.6042,0.1807,0.5833,15
RandomForest,2,0.5625,0.2098,0.55,15
RandomForest,4,0.5458,0.2909,0.5667,15
RandomForest,8,0.6896,0.2323,0.6167,15
RandomForest,16,0.7083,0.1839,0.5917,15
RandomForest,24,0.7229,0.205,0.6333,15
XGBoost,2,0.5,0.0,0.5,15
XGBoost,4,0.5,0.0,0.5,15
XGBoost,8,0.5917,0.1795,0.5917,15
XGBoost,16,0.7333,0.134,0.6583,15
XGBoost,24,0.7083,0.1304,0.6917,15
